Created by BABINA on Tue Sep 19 10:14:13 ADT 2023
Source File C:\Users\BabinA\Desktop\BW Aud files for characterization\SBS_2016_09\AMAR388.1.20161006T033141Z.wav null
Absolute Start Time,Relative Start Time,Duration,Type,Species,Call Type,User Comment,Analysis Method,Start Time90,Stop Time90,Start Time90,Stop Time90,Centroid Time,Fmin,Fmax,Fmin90,Fmax90,Fmin90,Fmax90,Centroid Freq,RMS SPL,RMS SPL T90,RMS SPL T90 BandLimited,PkPk SPL,SEL,SEL T90,SEL T90 BandLimited,Peak SPL,Peak +SPL,Peak -SPL,Peak SPL Time,Peak SPL Freq,3dB Down Freq (upwards),10dB Down Freq (upwards),3dB Down Freq (downwards),10dB Down Freq (downwards),DeciDecade SPL(1.00 Hz),DeciDecade SPL(1.26 Hz),DeciDecade SPL(1.58 Hz),DeciDecade SPL(2.00 Hz),DeciDecade SPL(2.50 Hz),DeciDecade SPL(3.16 Hz),DeciDecade SPL(3.98 Hz),DeciDecade SPL(5.00 Hz),DeciDecade SPL(6.31 Hz),DeciDecade SPL(7.94 Hz),DeciDecade SPL(10.00 Hz),DeciDecade SPL(12.59 Hz),DeciDecade SPL(15.85 Hz),DeciDecade SPL(19.95 Hz),DeciDecade SPL(25.12 Hz),DeciDecade SPL(31.62 Hz),DeciDecade SPL(39.81 Hz),DeciDecade SPL(50.12 Hz),DeciDecade SPL(63.10 Hz),DeciDecade SPL(79.43 Hz),DeciDecade SPL(100.00 Hz),DeciDecade SPL(125.89 Hz),DeciDecade SPL(158.49 Hz),DeciDecade SPL(199.53 Hz),DeciDecade SPL(251.19 Hz),DeciDecade SPL(316.23 Hz),DeciDecade SPL(398.11 Hz),DeciDecade SPL(501.19 Hz),DeciDecade SPL(630.96 Hz),DeciDecade SPL(794.33 Hz),DeciDecade SPL(1000.00 Hz),DeciDecade SPL(1258.93 Hz),DeciDecade SPL(1584.89 Hz),DeciDecade SPL(1995.26 Hz),DeciDecade SPL(2511.88 Hz),DeciDecade SPL(3162.28 Hz),DeciDecade SPL(3981.07 Hz),DeciDecade SEL(1.00 Hz),DeciDecade SEL(1.26 Hz),DeciDecade SEL(1.58 Hz),DeciDecade SEL(2.00 Hz),DeciDecade SEL(2.50 Hz),DeciDecade SEL(3.16 Hz),DeciDecade SEL(3.98 Hz),DeciDecade SEL(5.00 Hz),DeciDecade SEL(6.31 Hz),DeciDecade SEL(7.94 Hz),DeciDecade SEL(10.00 Hz),DeciDecade SEL(12.59 Hz),DeciDecade SEL(15.85 Hz),DeciDecade SEL(19.95 Hz),DeciDecade SEL(25.12 Hz),DeciDecade SEL(31.62 Hz),DeciDecade SEL(39.81 Hz),DeciDecade SEL(50.12 Hz),DeciDecade SEL(63.10 Hz),DeciDecade SEL(79.43 Hz),DeciDecade SEL(100.00 Hz),DeciDecade SEL(125.89 Hz),DeciDecade SEL(158.49 Hz),DeciDecade SEL(199.53 Hz),DeciDecade SEL(251.19 Hz),DeciDecade SEL(316.23 Hz),DeciDecade SEL(398.11 Hz),DeciDecade SEL(501.19 Hz),DeciDecade SEL(630.96 Hz),DeciDecade SEL(794.33 Hz),DeciDecade SEL(1000.00 Hz),DeciDecade SEL(1258.93 Hz),DeciDecade SEL(1584.89 Hz),DeciDecade SEL(1995.26 Hz),DeciDecade SEL(2511.88 Hz),DeciDecade SEL(3162.28 Hz),DeciDecade SEL(3981.07 Hz),Bearing,Elevation,direction1Accel,direction2Accel,direction3Accel,rmsParticleAcceleration
2016-Oct-06 03:37:11.011,330.5804717540741,3.161106586456299,Annotation,BW,A,,null,0.12254411280024917,3.1063138223840254,0.12254411280024917,3.1063138223840254,1.3919534400128604,33.25,70.55,47.65,69.24,47.65,69.24,55.96,101.505226,101.29841,84.34882,116.755844,106.50364,106.04607,89.347244,110.95906,110.95906,110.50551,0.2578125,59.20,60.4248046875,61.1572265625,58.4716796875,51.1474609375,77.01,77.40,84.79,83.98,72.88,89.91,99.08,74.01,70.86,79.03,76.31,65.18,64.61,69.80,61.20,59.30,67.31,81.28,81.22,77.40,75.36,76.79,73.93,73.20,73.60,76.11,75.31,75.81,75.54,77.81,81.18,78.00,73.75,70.20,70.26,71.31,68.30,82.02,82.41,89.79,88.98,77.88,94.91,104.08,79.01,75.86,84.03,81.31,70.18,69.61,74.80,66.20,64.30,72.31,86.28,86.22,82.41,80.36,81.79,78.93,78.20,78.60,81.11,80.31,80.80,80.54,82.81,86.18,83.00,78.74,75.20,75.26,76.31,73.30
2016-Oct-06 03:39:45.045,484.00160813331604,3.4540276527404785,Annotation,BW,A,Exemplar 4611,null,0.1557519619016691,3.3524588024937634,0.1557519619016691,3.3524588024937634,1.5991684124074312,37.07,72.68,50.42,69.58,50.42,69.58,61.40,110.36394,110.242714,84.3396,124.720825,115.74732,115.28974,89.72298,119.548294,119.548294,117.7603,1.3320625,63.60,64.5751953125,65.3076171875,63.1103515625,61.8896484375,83.44,83.60,89.10,97.85,95.01,84.01,107.45,86.54,97.59,95.12,92.78,95.38,69.80,64.79,70.92,60.08,64.85,77.06,83.30,79.74,78.11,80.14,78.31,76.67,77.22,81.26,83.48,75.80,74.24,74.51,76.89,75.69,72.43,70.25,69.69,69.48,67.73,88.83,88.99,94.48,103.23,100.40,89.39,112.83,91.93,102.97,100.51,98.17,100.76,75.18,70.17,76.30,65.45,70.23,82.45,88.69,85.12,83.49,85.52,83.71,82.05,82.60,86.65,88.87,81.18,79.62,79.90,82.27,81.06,77.81,75.63,75.06,74.86,73.11
2016-Oct-06 03:39:58.058,497.86653900146484,2.2457282543182373,Annotation,BW,A,,null,0.11288742417077238,2.1962576627437156,0.11288742417077238,2.1962576627437156,1.3051388654133158,37.30,76.30,49.60,69.76,49.60,69.76,57.90,110.41783,110.2862,87.525734,124.369545,113.93144,113.47387,91.03935,118.40915,118.40915,118.288315,1.9076875,58.23,59.4482421875,64.3310546875,55.2978515625,49.1943359375,80.69,81.49,94.04,100.40,97.70,95.40,107.23,92.51,96.69,101.24,88.50,94.36,69.92,63.23,67.26,60.56,66.76,82.97,85.31,79.78,75.70,79.29,74.29,73.04,73.53,73.78,75.06,75.10,73.22,74.93,77.06,76.06,73.63,70.40,69.88,69.79,67.06,84.20,85.01,97.56,103.91,101.22,98.92,110.75,96.03,100.20,104.75,92.01,97.87,73.44,66.74,70.78,64.06,70.26,86.49,88.82,83.29,79.22,82.80,77.80,76.56,77.05,77.29,78.56,78.62,76.74,78.45,80.59,79.56,77.14,73.92,73.39,73.30,70.58
